Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C,Route
3898.74,3949.07,14.0,13.0,14.9728,30.1418,15.0,80.0,26.2999,-28,151,5.8,8.18271,6.9862899999999994,691.685,1235.14,-56419.7,2.0
3086.47,3046.75,8.0,9.0,12.2585,30.0547,18.0,90.0,16.96,-28,151,2.1,16.9848,0.811399999999999,287.642,-1721.8,-53735.5,1.0
2712.09,2795.26,9.0,10.0,14.7745,30.0912,15.0,150.0,13.5272,151,61,6.1,13.1428,2.173900000000001,182.984,743.28,-41376.2,1.0
2533.25,2541.9,3.0,4.0,12.1596,30.2589,18.0,30.0,4.41216,-173,-103,6.3,63.3711,-45.2718,19.4672,-261.465,-61608.8,1.0
3044.73,3101.68,10.0,0.0,11.3451,30.000999999999998,19.0,80.0,10.3309,151,-118,3.6,16.1838,2.472100000000001,106.728,1707.82,-55592.6,2.0
3333.22,3222.75,10.0,12.0,13.335999999999999,30.1845,17.0,150.0,1.51013,61,61,1.5,100.0,-83.1515,2.28048,-449.579,-40338.4,1.0
3370.08,3309.76,7.0,10.0,11.775,30.0678,18.0,60.0,3.5773300000000003,60,50,1.4,84.3865,-66.0937,12.7973,-383.76099999999997,-58746.3,1.0
3087.95,3026.52,9.0,11.0,15.3946,30.1019,15.0,60.0,14.4253,151,61,0.6,21.5089,-6.8016000000000005,208.08900000000003,-1745.69,-58720.5,2.0
3086.34,3028.92,9.0,9.0,15.7543,30.0618,14.0,220.0,0.560018,151,151,2.3,71.4154,-57.1079,0.31361999999999995,174.207,-14040.6,2.0
3990.33,3976.13,3.0,11.0,10.9757,30.0187,19.0,80.0,11.4541,-28,-118,6.9,21.5404,-2.4974000000000025,131.195,-192.676,-56722.9,1.0
3990.58,3949.07,0.0,13.0,14.9739,30.1424,15.0,100.0,12.69,0,151,2.1,22.7698,-7.601300000000002,161.036,-1320.08,-53433.6,1.0
3121.95,3158.51,12.0,12.0,13.3597,30.0032,17.0,110.0,24.28,-28,151,6.3,6.53254,10.11096,589.518,3822.7,-50129.1,2.0
3131.24,3026.54,7.0,11.0,15.3963,30.1025,15.0,130.0,12.9585,-28,61,1.7,28.401999999999997,-13.695800000000002,167.922,-3191.09,-44824.9,1.0
3080.36,3202.96,12.0,11.0,10.9899,19.1333,8.0,120.0,15.9442,151,62,4.3,7.99649,0.14690999999999832,254.218,3902.69,-47463.5,1.0
3081.31,3133.26,12.0,10.0,10.8695,23.1129,12.0,80.0,15.249,151,62,3.3,12.1525,0.09089999999999954,232.532,1731.42,-55382.1,2.0
3351.2,3302.35,9.0,10.0,11.0502,30.07,19.0,50.0,2.33847,61,50,1.3,100.0,-80.9802,5.46844,-142.135,-60070.8,1.0
3355.33,3309.84,13.0,10.0,11.7832,30.0733,18.0,200.0,17.8893,151,50,7.4,21.2283,-2.938200000000002,320.028,-5791.92,-21265.0,1.0
3346.84,3233.44,13.0,0.0,13.9023,17.1045,3.0,220.0,13.34,151,0,2.2,3.08794,0.11426000000000115,177.956,3824.47,-13506.6,1.0
3513.88,3640.59,10.0,5.0,12.2018,30.0361,18.0,140.0,5.00004,61,61,5.5,77.9758,-60.14150000000001,25.0004,-1399.15,-42908.1,1.0
3028.79,3028.9,0.0,9.0,15.7576,30.0624,14.0,140.0,8.88,0,151,6.5,13.5357,0.7690999999999999,78.8544,2081.4,-42620.5,2.0
3887.02,3810.59,0.0,11.0,14.4322,18.1464,4.0,220.0,10.62,0,-118,2.2,3.92573,-0.21153000000000025,112.78399999999999,3527.62,-15586.7,2.0
3886.99,3976.12,0.0,11.0,10.9764,30.0225,19.0,140.0,11.1551,-26,-118,3.7,21.1008,-2.054699999999997,124.43700000000001,-603.513,-42670.2,2.0
2653.63,2541.82,10.0,4.0,12.1846,30.26,18.0,130.0,14.193,61,-103,8.0,11.4868,6.588600000000001,201.44099999999997,1543.1,-44305.0,1.0
2656.24,2753.15,10.0,9.0,12.4865,30.0524,18.0,170.0,13.2334,61,-28,6.0,31.5134,-13.947500000000002,175.122,-4502.25,-32031.4,1.0
2895.71,2983.75,10.0,10.0,15.2006,30.1662,15.0,90.0,19.7899,151,-28,4.7,9.98316,4.98244,391.64,1565.61,-54662.0,1.0
2894.91,2908.27,10.0,11.0,15.437999999999999,30.0268,15.0,80.0,16.875,151,-97,6.6,19.3148,-4.726000000000001,284.765,-2569.39,-56608.0,1.0
3576.3,3640.64,6.0,5.0,12.2149,30.0395,18.0,70.0,9.30906,-174,61,5.3,20.1277,-2.3031000000000006,86.6586,1138.61,-58025.0,2.0
3642.2,3458.74,13.0,3.0,10.8888,30.0407,19.0,190.0,10.1,-28,-28,0.5,8.887189999999997,10.26471,102.01100000000001,2100.0,-26720.1,1.0
3151.89,3026.6,1.0,11.0,15.4026,29.5836,14.0,170.0,10.9691,152,61,7.8,23.6515,-9.470499999999998,120.322,-1419.05,-33744.6,1.0
3820.68,3810.42,7.0,11.0,14.4512,30.230999999999998,16.0,150.0,12.5171,151,-118,6.7,29.1857,-13.4059,156.678,-3154.22,-41401.3,1.0
3818.76,3949.06,7.0,13.0,14.9752,30.1429,15.0,160.0,6.02032,151,151,5.5,32.0495,-16.8818,36.2442,36.0478,-38384.3,2.0
3496.25,3459.14,13.0,0.0,13.2025,22.1659,9.0,150.0,13.2499,151,-30,2.6,7.88474,1.0786600000000002,175.56,3498.37,-38498.2,2.0
3254.82,3233.44,11.0,0.0,14.8299,30.2705,15.0,150.0,10.6,61,0,7.1,22.3924,-6.9518,112.36,-712.993,-40373.7,2.0
3252.62,3282.5,11.0,0.0,14.6054,30.0349,15.0,30.0,10.52,61,63,5.3,26.7124,-11.282899999999998,110.671,-652.989,-61526.6,1.0
2971.96,3026.63,9.0,11.0,15.4057,30.2256,15.0,60.0,1.86,61,61,5.5,99.8974,-85.0775,3.45961,238.71,-58371.7,2.0
2974.76,3028.89,9.0,9.0,15.7593,30.0786,14.0,180.0,12.6798,61,151,3.1,22.6817,-8.362399999999997,160.77700000000004,-2383.02,-28662.3,1.0
3156.33,3028.88,3.0,9.0,15.7616,30.0792,14.0,160.0,5.65001,151,151,1.6,36.5681,-22.2505,31.9226,-136.535,-37694.9,1.0
2939.01,2771.6,5.0,10.0,12.2031,30.0918,18.0,170.0,10.9253,-27,61,0.5,25.9725,-8.0838,119.361,-1860.51,-32195.5,1.0
2940.58,2984.03,0.0,10.0,15.2795,30.1669,15.0,130.0,10.05,-28,-28,3.5,11.7743,3.113099999999997,101.00299999999999,2646.52,-45163.6,2.0
2936.34,2943.02,9.0,10.0,11.2233,30.0273,19.0,20.0,11.1258,-27,-97,3.5,23.4039,-4.599899999999998,123.78299999999999,-242.483,-62125.8,2.0
2845.31,2984.04,11.0,10.0,15.283,30.1675,15.0,140.0,11.5031,-95,-28,4.5,9.34844,5.536060000000001,132.322,3276.48,-42194.0,2.0
3116.69,3101.5,10.0,0.0,15.7655,30.2209,14.0,30.0,10.34,151,0,7.2,27.2599,-12.804499999999996,106.916,-660.8489999999998,-61434.5,2.0
3118.73,3168.28,10.0,11.0,15.4577,19.6537,4.0,240.0,15.1574,151,63,2.6,3.0842400000000003,1.11176,229.747,1439.79,-6626.16,2.0
