Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C
10813.5,10819.5,11.86,9.87,7.74626,16.1431,8.396840000000001,57.9011,21.7283, 84, -97,7.73559,11.5959,-3.1990599999999993,472.12,-373.926,-59147.5
10794.8,10772.7,7.76,6.8,5.98048,14.0016,8.02112,62.8266,14.5588, 84, -97,0.208206,15.3361,-7.31498,211.958,567.337,-58552.8
10814.0,10729.8,11.86,8.65,7.79187,13.0279,5.23603,100.852,20.5078, 84, -97,1.09312,7.86006,-2.6240299999999994,420.57,3351.88,-52329.0
10815.8,10975.4,11.86,5.9,7.94688,22.0126,14.065719999999999,170.271,17.6214, 84, -110,6.20518,22.6507,-8.584980000000002,310.513,-5553.99,-33507.7
8352.65,8446.88,14.44,10.94,8.68797,25.0043,16.31633,111.255,3.72577, -77, -83,6.28492,37.7053,-21.38897,13.8814,805.916,-50122.3
8382.8,8307.38,7.72,3.78,5.71044,25.208,19.49756,84.8926,3.94787, -79, -77,2.19246,84.7875,-65.28994,15.5857,-669.333,-55293.2
8383.07,8553.41,7.72,5.47,5.67031,8.47219,2.8018799999999997,176.912,13.1408, -79, 90,5.99172,5.5887,-2.7868200000000005,172.681,4618.03,-31202.2
8373.76,8202.17,9.68,8.16,6.80907,25.175,18.36593,195.039,1.57256, -80, -77,2.2076,100.0,-81.63407000000001,2.47293,-590.717,-24459.6
8384.2,8394.71,7.72,3.61,5.50704,25.1966,19.68956,12.1706,4.4383, -79, -61,6.24871,53.7187,-34.02914,19.6985,102.529,-62351.9
9696.14,9610.44,6.71,6.03,5.55435,25.0026,19.44825,85.8461,0.680554, -95, -95,1.89947,100.0,-80.55175,0.463153,-116.753,-55130.5
11620.5,11650.2,7.74,7.56,5.55472,25.016,19.46128,73.6122,15.0416, 179, -21,7.36498,21.0628,-1.6015200000000007,226.25,-2055.43,-57081.2
11617.7,11622.9,12.21,9.48,7.46383,21.0628,13.59897,28.684,17.1468, 179, -76,7.65241,16.2014,-2.60243,294.013,-956.496,-61677.2
11620.3,11627.6,7.74,5.0,5.73692,25.3437,19.60678,32.2661,3.1025, 179, -166,4.07392,71.1294,-51.52262,9.62549,179.387,-61458.9
7588.34,7571.64,7.62,5.82,5.93636,19.0991,13.16274,66.2131,12.7863, -41, 102,7.8974,15.8699,-2.70716,163.489,1067.47,-58115.8
7588.77,7554.65,7.62,2.7,5.77418,25.1719,19.39772,140.358,5.86351, -41, 0,7.89286,23.643,-4.245280000000001,34.3807,997.382,-42799.7
8354.09,8446.93,13.28,10.94,8.68301,22.0115,13.328490000000002,149.772,24.1349, 106, -83,6.70761,15.7365,-2.4080099999999973,582.496,-6620.23,-40068.3
8326.92,8464.7,7.51,5.06,5.70428,25.114,19.40972,164.448,2.69798, 106, 116,6.29554,100.0,-80.59028,7.27908,-831.245,-35456.9
8335.09,8202.15,9.24,8.16,6.81214,11.1359,4.323759999999999,133.5,17.3912, 105, -77,1.79358,7.07324,-2.749480000000001,302.455,4177.09,-44677.6
8352.21,8557.48,13.28,11.16,8.5145,24.0263,15.5118,260.01,24.4332, 106, -76,6.39572,20.7174,-5.205600000000002,596.981,-12614.3,5105.35
8354.38,8376.36,13.28,9.15,8.709,18.0635,9.354500000000002,73.353,22.3981, 106, -80,7.32537,13.351,-3.9964999999999993,501.677,-2419.62,-57119.3
9675.16,9593.51,13.61,10.33,7.54997,12.002,4.452030000000001,85.1192,23.9396, 83, -95,1.52252,7.01943,-2.5673999999999992,573.103,3848.83,-55254.7
10623.5,10772.7,6.95,6.8,5.98231,19.2888,13.306489999999998,164.077,13.7497, 83, -97,6.28198,28.6281,-15.321610000000002,189.055,-4169.48,-35578.7
10659.9,10602.9,14.88,10.85,9.16653,25.0187,15.85217,57.0724,4.03001, 83, 83,1.88938,47.8728,-32.02063,16.241,460.004,-59242.7
11070.9,11097.7,8.74,5.11,5.77558,14.1127,8.33712,39.0786,13.8499, -96, 83,4.69022,16.0815,-7.744379999999998,191.82,706.73,-60972.9
11071.6,11281.2,8.74,5.98,5.69562,25.2048,19.50918,209.754,2.76194, -96, -96,5.88389,14.5823,4.926880000000001,7.62833,1157.64,-18503.1
11061.3,10982.0,10.12,4.49,6.75473,25.2959,18.54117,79.5116,5.71632, -96, -104,1.78325,57.2209,-38.67973,32.6763,-887.992,-56177.9
11029.2,11059.1,15.81,12.46,9.22162,25.2192,15.997580000000001,29.891,3.43706, -99, -96,5.8517,64.2271,-48.229519999999994,11.8134,200.458,-61606.5
11070.6,10985.7,8.74,3.44,5.81366,25.29,19.47634,84.8458,5.31669, -96, -100,1.84311,62.8721,-43.39576,28.2671,-897.633,-55301.2
11071.1,11191.5,8.74,3.16,5.756,11.0755,5.3195,122.631,11.9, -96, 83,5.64441,10.8495,-5.530000000000001,141.609,2838.16,-47461.7
11035.1,10876.5,13.89,9.83,8.82388,25.0286,16.204720000000002,158.796,4.06177, -99, -98,1.80936,100.0,-83.79527999999999,16.498,-1289.98,-37283.9
10935.7,10958.9,16.35,13.2,9.0887,18.181,9.092300000000002,51.0577,29.426, 89, -101,7.2786,9.23669,-0.1443899999999978,865.89,-1513.7,-59893.1
8456.64,8296.3,12.55,7.44,7.75666,25.2092,17.45254,185.503,5.19034, -82, -76,2.24733,82.0893,-64.63676,26.9397,-1869.29,-28088.6
8475.11,8553.28,7.88,5.34,5.92516,13.034,7.108840000000001,78.291,13.2195, -77, 104,5.65336,13.645,-6.536159999999999,174.754,1746.72,-56370.5
8443.03,8283.44,10.91,11.26,9.07769,24.0222,14.944510000000001,228.571,22.1679, -71, 106,2.55741,21.1805,-6.2359899999999975,491.414,-9924.24,-10255.3
8476.82,8394.28,7.88,3.61,5.6773,25.3383,19.661,97.3193,4.51214, -77, -61,2.28487,75.8883,-56.2273,20.3594,-846.262,-53029.0
11648.8,11628.1,3.18,7.0,6.77799,25.2784,18.500410000000002,23.8569,4.49884, -22, -52,2.38104,50.274,-31.77359,20.2396,214.344,-61930.8
11642.7,11647.2,5.41,8.58,9.071,25.1591,16.088099999999997,55.2773,10.5218, -76, 18,7.76757,25.7689,-9.680800000000001,110.709,-546.029,-59444.4
11649.8,11515.2,7.56,6.21,5.80584,25.1365,19.33066,143.921,10.9185, -21, 83,2.21575,34.4196,-15.088940000000001,119.213,-2889.22,-41786.8
11643.0,11651.7,5.41,9.79,9.01517,25.1763,16.16113,103.008,4.70085, -76, -90,3.93162,53.1625,-37.00137,22.098,-198.734,-51889.3
8285.24,8283.59,11.27,11.26,9.094,18.0297,8.935699999999999,69.1812,22.5189, -76, 106,3.66977,12.4798,-3.5441000000000003,507.099,-1703.86,-57714.0
8285.08,8372.84,11.27,11.37,9.11099,25.3389,16.22791,99.4657,0.687681, -76, -80,6.20486,100.0,-83.77208999999999,0.472905,-19.3533,-52606.6
11634.3,11650.3,5.69,7.56,5.52026,25.0176,19.49734,20.3468,6.38337, -76, -21,6.57778,39.2582,-19.76086,40.7474,-18.187,-62086.0
11605.4,11647.2,13.26,8.58,9.07212,25.1608,16.088679999999997,80.5641,18.53, -96, 18,7.16991,12.1474,3.9412799999999972,343.359,439.925,-56009.4
11620.9,11532.4,9.48,10.67,7.69245,21.195,13.50255,93.8802,19.8324, -76, 83,2.19262,17.2737,-3.7711500000000022,393.323,-3686.17,-53686.5
8559.25,8469.32,6.86,6.91,6.61967,25.1147,18.49503,101.845,2.3481, 88, 108,2.20983,100.0,-81.50497,5.51356,-37.4372,-52127.7
8554.74,8553.27,5.47,5.34,5.92458,25.1606,19.23602,4.91282,1.29064, 90, 104,0.0251801,100.0,-80.76398,1.66575,12.4297,-62475.9
8559.81,8572.52,6.86,7.41,6.70412,21.1836,14.479479999999999,45.9215,14.1077, 88, -73,7.3779,19.6187,-5.139220000000002,199.026,-826.372,-60391.2
8554.22,8575.3,5.47,5.26,5.82391,25.0422,19.218290000000003,57.8959,10.7243, 90, -86,7.24205,26.3534,-7.135109999999997,115.011,-786.527,-59148.1
8567.19,8384.57,9.34,7.06,7.62391,10.0873,2.4633900000000004,189.734,16.3884, 95, -79,1.9932,3.705,-1.2416099999999997,268.579,6157.72,-26501.2
7507.66,7560.13,10.79,8.37,8.57796,25.1731,16.59514,67.2328,15.2453, -104, 0,6.33943,14.0743,2.5208400000000015,232.421,848.365,-57979.7
11098.5,10985.6,5.11,3.08,5.92367,12.0583,6.134629999999999,117.504,8.1776, 83, -102,1.53857,16.4983,-10.363670000000003,66.8732,1848.09,-48692.7
11129.3,11059.0,12.55,12.46,9.22448,15.2139,5.989420000000001,75.1027,25.01, 83, -96,1.43357,7.16319,-1.1737699999999993,625.5,3457.16,-56859.6
8476.8,8457.57,9.46,12.55,7.67541,17.0679,9.392490000000002,45.9398,21.9355, 107, -82,0.151673,11.3209,-1.9284099999999977,481.165,-112.92,-60389.5
8477.47,8296.28,9.46,7.44,7.76022,10.1559,2.3956800000000005,188.769,16.8892, 107, -76,1.99735,3.72886,-1.3331799999999996,285.244,6141.32,-26866.3
8469.35,8559.29,6.91,6.86,6.62522,25.2703,18.64508,101.844,2.3481, 108, 88,6.2097,100.0,-81.35491999999999,5.51356,-37.376,-52127.9
8469.37,8557.48,6.91,7.07,6.62948,25.1618,18.53232,103.148,0.557938, 108, 104,6.27196,100.0,-81.46768,0.311295,34.8528,-51860.5
8465.13,8575.32,5.06,5.26,5.82055,21.1872,15.36665,150.966,10.1222, 116, -86,6.51292,39.0826,-23.71595,102.459,-2988.33,-39709.4
8490.9,8284.85,12.52,11.26,9.22923,19.2038,9.974570000000002,247.483,1.31319, 104, 106,2.3052,2.00935,7.965220000000002,1.72447,619.656,-1252.07
8489.75,8372.72,12.52,11.37,9.12206,13.2797,4.157640000000001,118.783,23.8649, 104, -80,1.88771,5.64027,-1.4826299999999994,569.531,5367.15,-48390.5
8574.03,8446.86,11.08,10.94,8.69035,13.1431,4.45275,128.832,21.971, 104, -83,1.88213,5.63932,-1.1865699999999997,482.723,5417.47,-45902.4
8552.1,8553.41,5.34,5.47,5.66978,25.2725,19.60272,4.59096,1.29064, 104, 90,4.01097,100.0,-80.39728,1.66575,11.5808,-62478.9
8552.36,8464.78,5.34,5.06,5.72682,25.1152,19.38838,102.94,1.17071, 104, 116,2.27862,100.0,-80.61162,1.37057,76.1623,-51903.3
8566.95,8562.96,8.81,9.6,7.94217,16.0227,8.08053,27.2926,18.4068, 103, -73,7.87007,14.0785,-5.9979700000000005,338.812,-383.487,-61755.1
8553.28,8574.8,5.34,5.26,5.92574,17.1174,11.191659999999999,53.4102,10.5603, 104, -86,7.17438,27.2285,-16.03684,111.52,-845.908,-59647.4
8565.66,8676.87,8.81,10.82,7.77283,25.0065,17.23367,135.687,3.29366, 103, 119,6.35032,44.3924,-27.158730000000002,10.8482,511.589,-44089.0
11281.3,11071.7,5.98,8.74,5.69029,25.2305,19.54021,209.74,2.76194, -96, -96,1.88388,14.5876,4.952609999999998,7.62833,1157.56,-18509.3
11250.0,11128.2,12.86,12.55,9.13632,21.3192,12.182879999999999,126.451,25.4099, -96, 83,2.11955,14.6099,-2.4270200000000006,645.661,-6249.58,-46510.3
8182.68,8281.56,12.35,8.67,8.84116,14.0793,5.23814,99.8187,21.0048, -77, 106,5.53504,7.82767,-2.5895300000000008,441.203,3258.02,-52536.2
8208.6,8051.84,6.0,4.0,5.87111,25.179,19.30789,185.521,2.0465, -77, -72,2.26844,100.0,-80.69211,4.18815,-740.599,-28082.1
8184.06,8376.33,12.35,9.15,8.71286,25.4859,16.77304,218.666,3.23395, -77, -80,6.20807,9.76515,7.0078900000000015,10.4585,1401.73,-14685.4
11630.5,11650.3,5.37,7.56,5.51798,25.0302,19.51222,51.8846,10.7426, 90, -21,4.25079,20.6838,-1.1715800000000023,115.404,504.563,-59808.0
11646.2,11544.7,6.03,12.14,8.74246,25.3212,16.578740000000003,142.205,10.5501, 22, 83,2.7268,36.6359,-20.057159999999996,111.306,-2923.79,-42277.7
11647.1,11651.7,8.58,9.79,9.02282,25.1774,16.15458,158.103,14.9071, 18, -90,3.87769,18.5261,-2.3715200000000003,222.222,-2092.54,-37503.4
8572.48,8468.02,7.41,10.46,6.70956,24.2589,17.54934,111.838,3.11936, -73, -78,2.08954,44.3281,-26.77876,9.73042,696.446,-49992.2
8551.21,8489.81,13.73,12.52,9.12757,19.2091,10.081529999999999,90.0959,26.2404, -78, 104,2.60223,12.7387,-2.6571700000000007,688.556,-4502.22,-54382.7
8577.38,8664.57,5.59,6.06,5.91029,12.0233,6.113010000000001,91.8408,11.6106, -73, 115,6.04797,13.8837,-7.770689999999998,134.805,2022.57,-54065.3
7534.14,7525.04,8.09,7.69,6.68597,25.0979,18.411929999999998,69.604,15.3301, 46, -105,3.48329,15.8507,2.5612299999999983,235.012,-87.7128,-57655.3
7541.36,7583.91,8.66,10.64,7.56484,21.1632,13.59836,90.8958,6.15813, 67, 102,4.14145,52.5354,-38.93704,37.9225,-959.867,-54238.0
7535.36,7495.22,8.09,5.53,6.84969,25.0279,18.17821,67.8596,12.5199, 46, 179,2.67391,19.7889,-1.6106900000000017,156.747,-176.236,-57895.1
7527.77,7536.24,5.64,3.98,5.7523,25.0231,19.2708,166.707,8.84661, 47, 180,3.68957,38.2305,-18.959699999999998,78.2624,-2084.14,-34708.6
7533.76,7555.73,8.09,4.14,6.63437,25.1737,18.53933,29.3569,6.08138, 46, 0,4.55051,44.1803,-25.640970000000003,36.9832,-238.778,-61638.2
8569.56,8467.9,7.31,10.46,6.72294,24.2601,17.53716,111.562,3.2342, -83, -78,2.15004,43.3928,-25.85564,10.4601,699.62,-50054.0
8575.34,8554.17,5.26,5.47,5.81605,25.2743,19.45825,57.9494,10.7243, -86, 90,3.24028,26.3613,-6.90305,115.011,-788.335,-59141.9
8547.04,8489.82,13.23,12.52,9.12868,21.3635,12.23482,94.1857,25.6895, -83, 104,2.74371,12.9014,-0.6665800000000015,659.95,-4357.42,-53629.1
8553.92,8572.2,11.52,11.08,8.50006,17.2123,8.71224,34.5526,22.5583, -83, 104,4.28963,10.8235,-2.1112599999999997,508.876,156.308,-61306.1
8546.01,8550.17,13.23,13.73,9.21312,25.4425,16.22938,9.95428,1.22418, -83, -78,4.15762,100.0,-83.77062000000001,1.49861,22.3277,-62400.9
8569.21,8669.58,7.31,8.32,6.77413,12.0287,5.25457,105.006,15.3469, -83, 118,6.02703,9.6258,-4.37123,235.526,3080.35,-51473.8
8547.1,8372.71,13.23,11.37,9.12374,25.4882,16.36446,198.492,1.94127, -83, -80,2.22182,100.0,-83.63553999999999,3.76852,-720.132,-23101.1
10805.2,10658.0,12.45,14.88,9.03392,20.0044,10.97048,161.371,27.1365, -82, 83,2.27385,14.8091,-3.8386200000000006,736.388,-8443.25,-36459.6
