Position - Rx,Position - Tx,Velocity - Rx,Velocity - Tx,Time Initial,Time Final,Time Communication,Distance,Relative Speed,Direction Rx,Direction Tx,Pseudo-angle,Link Lifetime,Time Prediction,A,B,C
3084.0,3026.11,10.3,10.93,15.3518,30.0994,14.747599999999998,185.697,15.0257, -28, 61,2.29969,28.9875,-14.239900000000002,225.771,-5578.02,-28016.8
2586.95,2539.08,5.85,0.0,14.1457,30.1702,16.024500000000003,124.244,5.85, 121, 0,7.31825,61.1519,-45.127399999999994,34.2225,-1323.16,-47063.3
2590.97,2754.42,10.7,8.94,12.8165,30.0464,17.2299,254.374,19.64, 151, -28,5.89042,9.24087,7.989030000000001,385.729,-3803.22,2206.25
2468.81,2541.91,9.97,4.48,12.1576,29.6975,17.539900000000003,115.931,9.835, -28, -103,5.90004,23.2046,-5.664699999999996,96.7272,-130.291,-49060.0
2941.84,3049.01,0.0,11.47,26.1094,30.1006,3.991199999999999,254.224,11.47, 0, 151,3.46022,43.9602,-39.969,131.561,-5831.89,2130.0
3619.83,3810.84,0.04,10.62,14.4048,30.1513,15.7465,197.71,10.58, -118, -118,4.28783,32.6166,-16.8701,111.936,-2933.23,-23410.8
3897.37,3810.8,0.22,10.62,14.4092,30.1525,15.7433,98.3784,10.4, -117, -118,1.40703,14.5832,1.1601,108.16,2044.77,-52821.7
3909.17,3974.93,8.54,11.45,11.0969,30.012,18.915100000000002,78.3263,2.91274, -117, -118,5.5258,100.0,-81.0849,8.48407,-454.569,-56365.0
3897.27,3949.08,0.22,12.69,14.972,30.1412,15.169200000000002,120.155,12.695, -117, 151,3.32717,29.1174,-13.948199999999998,161.164,-3042.02,-48062.7
3443.88,3309.74,0.57,10.24,11.7729,30.0648,18.291900000000002,137.566,9.68547, 63, 50,1.43203,39.5982,-21.306299999999997,93.8083,-2614.2,-43575.6
3234.71,3298.26,10.93,9.83,10.5915,30.066,19.4745,126.831,16.3243, -29, 74,6.29184,7.59093,11.883569999999999,266.483,4091.54,-46413.9
3360.81,3282.43,10.14,0.13,13.788,30.0321,16.2441,215.041,10.27, -119, 59,2.34403,32.7101,-16.465999999999998,105.472,-2952.99,-16257.5
3894.58,3810.8,13.61,10.62,14.4097,30.1536,15.7439,139.782,17.2893, -28, -118,7.56748,6.99271,8.751190000000001,298.919,4053.42,-42961.0
3895.79,3940.8,13.61,11.49,14.5732,30.0164,15.443200000000001,198.171,17.6885, -28, -117,6.30984,7.69651,7.746690000000001,312.883,609.918,-23228.3
3898.74,3949.07,13.61,12.69,14.9728,30.1418,15.169,77.9761,26.2999, -28, 151,5.80724,8.18271,6.98629,691.685,1235.14,-56419.7
3086.47,3046.75,7.78,9.18,12.2585,30.0547,17.7962,93.619,16.96, -28, 151,2.07661,16.9848,0.811399999999999,287.642,-1721.8,-53735.5
2712.09,2795.26,9.12,10.03,14.7745,30.0912,15.3167,145.34,13.5272, 151, 61,6.14919,13.1428,2.1739000000000015,182.984,743.28,-41376.2
2533.25,2541.9,2.9,4.48,12.1596,30.2589,18.0993,29.8533,4.41216, -173, -103,6.31007,63.3711,-45.2718,19.4672,-261.465,-61608.8
3009.23,3022.65,10.75,6.72,17.0954,30.0594,12.963999999999999,256.366,4.03003, 151, 151,6.4447,98.4993,-85.5353,16.2411,-1632.47,3223.72
3044.73,3101.68,10.33,0.23,11.3451,30.001,18.655900000000003,83.1105,10.3309, 151, -118,3.56201,16.1838,2.472100000000001,106.728,1707.82,-55592.6
3333.22,3222.75,10.35,11.86,13.336,30.1845,16.8485,148.868,1.51013, 61, 61,1.46093,100.0,-83.1515,2.28048,-449.579,-40338.4
3349.04,3167.62,9.74,11.37,15.3742,30.1389,14.7647,246.983,1.66052, 61, 63,1.46729,100.0,-85.2353,2.75732,-803.594,-1499.47
3370.08,3309.76,7.03,10.24,11.775,30.0678,18.2928,61.2672,3.57733, 60, 50,1.36358,84.3865,-66.0937,12.7973,-383.761,-58746.3
3087.95,3026.52,9.44,10.93,15.3946,30.1019,14.7073,61.4777,14.4253, 151, 61,0.601779,21.5089,-6.8016000000000005,208.089,-1745.69,-58720.5
3086.34,3028.92,9.44,8.88,15.7543,30.0618,14.307500000000001,220.135,0.560018, 151, 151,2.2886,71.4154,-57.1079,0.31362,174.207,-14040.6
